Nombre: InfoArchivo.cs, Tamaño: 0,18 KB, Fecha: 9/6/2026 15:07:21
Nombre: LectorDirectorio.csproj, Tamaño: 0,25 KB, Fecha: 9/6/2026 14:32:11
Nombre: Program.cs, Tamaño: 1,56 KB, Fecha: 9/6/2026 15:31:41
